"t_stamp","1KTI10 熟料落料溫度","1CPI18 窯頭風壓","1K001_ON 窯主馬達運轉","1KII01 旋窯主馬達A電流","1KII02 旋窯主馬達B電流","1KJI01 旋窯主馬達A功率","1KSI01 窯主馬達A轉速","1KTI09 燒成帶溫度"
2026-03-20 15:55:37.000,1101.49231,-3.87991571,-1.0,612.043152,640.4199,421.47998,2.09515452,799.4101
2026-03-20 15:55:32.000,1101.49231,-2.86867952,-1.0,612.043152,640.4199,421.47998,2.09515452,799.4101
2026-03-20 15:55:27.000,1101.49231,-2.86867952,-1.0,646.787537,636.2075,436.753876,2.092837,799.4101
2026-03-20 15:55:22.000,1101.49231,-2.86867952,-1.0,653.4491,648.1264,433.4621,2.09515452,799.4101
2026-03-20 15:55:17.000,1101.49231,-3.05758429,-1.0,653.4491,648.1264,433.4621,2.09515452,799.4101
2026-03-20 15:55:12.000,1101.49231,-4.07865143,-1.0,653.4491,648.1264,433.4621,2.09515452,799.4101
2026-03-20 15:55:07.000,1101.49231,-4.07865143,-1.0,627.847961,653.0899,433.922943,2.09515452,799.4101
2026-03-20 15:55:02.000,1101.49231,-3.30758429,-1.0,627.847961,653.0899,433.922943,2.09515452,799.4101
2026-03-20 15:54:57.000,1101.49231,-4.040028,-1.0,606.100037,632.3869,416.542328,2.09736657,799.4101
2026-03-20 15:54:52.000,1101.49231,-4.040028,-1.0,678.3318,661.482056,443.798279,2.090625,799.4101
2026-03-20 15:54:47.000,1101.49231,-4.040028,-1.0,678.3318,661.482056,443.798279,2.090625,799.4101
2026-03-20 15:54:42.000,1101.49231,-3.65870762,-1.0,678.3318,661.482056,443.798279,2.090625,799.4101
2026-03-20 15:54:37.000,1101.49231,-3.97401667,-1.0,660.14325,660.437134,454.639221,2.09515452,799.4101
2026-03-20 15:54:32.000,1101.49231,-3.97401667,-1.0,614.1657,641.497559,424.047577,2.09736657,799.4101
2026-03-20 15:54:27.000,1101.49231,-3.22120762,-1.0,614.1657,641.497559,424.047577,2.09736657,799.4101
2026-03-20 15:54:22.000,1101.49231,-3.22120762,-1.0,672.747864,665.6945,452.993347,2.09736657,799.4101
2026-03-20 15:54:17.000,1101.49231,-4.38202238,-1.0,672.747864,665.6945,452.993347,2.09736657,799.4101
2026-03-20 15:54:12.000,1101.49231,-4.38202238,-1.0,672.747864,665.6945,452.993347,2.09736657,799.4101
2026-03-20 15:54:07.000,1101.49231,-3.50421333,-1.0,634.868652,649.204,441.230682,2.090625,799.4101
2026-03-20 15:54:02.000,1101.49231,-3.33216286,-1.0,614.8841,643.2282,433.7035,2.09957862,799.4101
2026-03-20 15:53:57.000,1101.49231,-3.33216286,-1.0,614.8841,643.2282,433.7035,2.09957862,799.4101
2026-03-20 15:53:52.000,1101.49231,-3.33216286,-1.0,661.9066,659.71875,442.1524,2.09736657,799.4101
2026-03-20 15:53:47.000,1101.49231,-5.821629,-1.0,661.9066,626.051941,424.7718,2.09957862,799.4101
2026-03-20 15:53:42.000,1101.49231,-4.97893238,-1.0,625.398865,626.051941,424.7718,2.09957862,799.4101
2026-03-20 15:53:37.000,1101.49231,-4.97893238,-1.0,625.398865,626.051941,424.7718,2.09957862,799.4101
2026-03-20 15:53:32.000,1101.49231,-3.54424143,-1.0,612.79425,640.0934,422.8845,2.09620786,799.4101
2026-03-20 15:53:27.000,1101.49231,-3.83005619,-1.0,612.79425,640.0934,422.8845,2.09620786,799.4101
2026-03-20 15:53:22.000,1101.49231,-3.83005619,-1.0,623.2763,637.9708,420.536346,2.08493686,799.4101
2026-03-20 15:53:17.000,1101.49231,-3.83005619,-1.0,623.2763,654.461365,431.596741,2.09515452,799.4101
2026-03-20 15:53:12.000,1101.49231,-3.97682571,-1.0,621.186462,654.461365,431.596741,2.09515452,799.4101
2026-03-20 15:53:07.000,1101.49231,-3.14817429,-1.0,621.186462,654.461365,431.596741,2.09515452,799.4101
2026-03-20 15:53:02.000,1101.49231,-3.14817429,-1.0,626.80304,646.428345,429.468048,2.08599019,799.4101
